start_utc,end_utc,start_berlin,end_berlin,price_eur_per_mwh,market,bidding_zone,source
2024-01-05 13:00:00+00:00,2024-01-05 14:00:00+00:00,2024-01-05 14:00:00+01:00,2024-01-05 15:00:00+01:00,96.41,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 14:00:00+00:00,2024-01-05 15:00:00+00:00,2024-01-05 15:00:00+01:00,2024-01-05 16:00:00+01:00,100.05,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 15:00:00+00:00,2024-01-05 16:00:00+00:00,2024-01-05 16:00:00+01:00,2024-01-05 17:00:00+01:00,102.97,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 16:00:00+00:00,2024-01-05 17:00:00+00:00,2024-01-05 17:00:00+01:00,2024-01-05 18:00:00+01:00,107.38,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 17:00:00+00:00,2024-01-05 18:00:00+00:00,2024-01-05 18:00:00+01:00,2024-01-05 19:00:00+01:00,108.45,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 18:00:00+00:00,2024-01-05 19:00:00+00:00,2024-01-05 19:00:00+01:00,2024-01-05 20:00:00+01:00,103.96,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 19:00:00+00:00,2024-01-05 20:00:00+00:00,2024-01-05 20:00:00+01:00,2024-01-05 21:00:00+01:00,100.09,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 20:00:00+00:00,2024-01-05 21:00:00+00:00,2024-01-05 21:00:00+01:00,2024-01-05 22:00:00+01:00,94.19,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 21:00:00+00:00,2024-01-05 22:00:00+00:00,2024-01-05 22:00:00+01:00,2024-01-05 23:00:00+01:00,94.92,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 22:00:00+00:00,2024-01-05 23:00:00+00:00,2024-01-05 23:00:00+01:00,2024-01-06 00:00:00+01:00,86.8,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-05 23:00:00+00:00,2024-01-06 00:00:00+00:00,2024-01-06 00:00:00+01:00,2024-01-06 01:00:00+01:00,82.25,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 00:00:00+00:00,2024-01-06 01:00:00+00:00,2024-01-06 01:00:00+01:00,2024-01-06 02:00:00+01:00,80.2,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 01:00:00+00:00,2024-01-06 02:00:00+00:00,2024-01-06 02:00:00+01:00,2024-01-06 03:00:00+01:00,76.13,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 02:00:00+00:00,2024-01-06 03:00:00+00:00,2024-01-06 03:00:00+01:00,2024-01-06 04:00:00+01:00,73.01,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 03:00:00+00:00,2024-01-06 04:00:00+00:00,2024-01-06 04:00:00+01:00,2024-01-06 05:00:00+01:00,73.01,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 04:00:00+00:00,2024-01-06 05:00:00+00:00,2024-01-06 05:00:00+01:00,2024-01-06 06:00:00+01:00,74.59,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 05:00:00+00:00,2024-01-06 06:00:00+00:00,2024-01-06 06:00:00+01:00,2024-01-06 07:00:00+01:00,75.1,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 06:00:00+00:00,2024-01-06 07:00:00+00:00,2024-01-06 07:00:00+01:00,2024-01-06 08:00:00+01:00,81.39,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 07:00:00+00:00,2024-01-06 08:00:00+00:00,2024-01-06 08:00:00+01:00,2024-01-06 09:00:00+01:00,88.4,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 08:00:00+00:00,2024-01-06 09:00:00+00:00,2024-01-06 09:00:00+01:00,2024-01-06 10:00:00+01:00,92.23,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 09:00:00+00:00,2024-01-06 10:00:00+00:00,2024-01-06 10:00:00+01:00,2024-01-06 11:00:00+01:00,97.3,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 10:00:00+00:00,2024-01-06 11:00:00+00:00,2024-01-06 11:00:00+01:00,2024-01-06 12:00:00+01:00,100.43,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 11:00:00+00:00,2024-01-06 12:00:00+00:00,2024-01-06 12:00:00+01:00,2024-01-06 13:00:00+01:00,99.16,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 12:00:00+00:00,2024-01-06 13:00:00+00:00,2024-01-06 13:00:00+01:00,2024-01-06 14:00:00+01:00,95.22,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 13:00:00+00:00,2024-01-06 14:00:00+00:00,2024-01-06 14:00:00+01:00,2024-01-06 15:00:00+01:00,92.55,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 14:00:00+00:00,2024-01-06 15:00:00+00:00,2024-01-06 15:00:00+01:00,2024-01-06 16:00:00+01:00,95.09,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 15:00:00+00:00,2024-01-06 16:00:00+00:00,2024-01-06 16:00:00+01:00,2024-01-06 17:00:00+01:00,99.85,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 16:00:00+00:00,2024-01-06 17:00:00+00:00,2024-01-06 17:00:00+01:00,2024-01-06 18:00:00+01:00,104.27,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 17:00:00+00:00,2024-01-06 18:00:00+00:00,2024-01-06 18:00:00+01:00,2024-01-06 19:00:00+01:00,103.63,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 18:00:00+00:00,2024-01-06 19:00:00+00:00,2024-01-06 19:00:00+01:00,2024-01-06 20:00:00+01:00,99.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 19:00:00+00:00,2024-01-06 20:00:00+00:00,2024-01-06 20:00:00+01:00,2024-01-06 21:00:00+01:00,92.14,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-06 20:00:00+00:00,2024-01-06 21:00:00+00:00,2024-01-06 21:00:00+01:00,2024-01-06 22:00:00+01:00,88.0,Day-ahead auction,Germany/Luxembourg,SMARD
