station_id,station_name,latitude,longitude,height_m_amsl
05142,Ueckermünde Mecklenburg-Vorpommern,53.7445,14.0698,1.0
05146,Uelzen Niedersachsen,52.9414,10.5289,50.0
05149,Gollhofen Bayern,49.5679,10.1969,318.0
05155,Ulm Baden-Württemberg,48.3837,9.9524,567.0
05158,Ummendorf Sachsen-Anhalt,52.1601,11.1759,159.0
05229,Villingen-Schwenningen Baden-Württemberg,48.0453,8.4608,719.0
05275,Waghäusel-Kirrlach Baden-Württemberg,49.2445,8.5374,105.0
05279,Wesertal-Lippoldsberg Hessen,51.6194,9.5749,167.0
05280,Wittenborn Schleswig-Holstein,53.9224,10.2267,33.0
05300,Waldems-Reinborn Hessen,50.2596,8.3607,380.0
05335,Waltershausen Thüringen,50.8963,10.5483,352.0
